DateTime,Blocks Per Day,Height
5/6/2011,208,128883
6/6/2011,233,129116
7/6/2011,170,129286
8/6/2011,185,129471
9/6/2011,222,129693
10/6/2011,223,129916
11/6/2011,252,130168
12/6/2011,233,130401
13/6/2011,227,130628
14/6/2011,247,130875
15/6/2011,279,131154
16/6/2011,180,131334
17/6/2011,186,131520
18/6/2011,197,131717
19/6/2011,223,131940
20/6/2011,234,132174
21/6/2011,253,132427
22/6/2011,260,132687
23/6/2011,240,132927
24/6/2011,216,133143
25/6/2011,143,133286
26/6/2011,149,133435
27/6/2011,169,133604
28/6/2011,160,133764
29/6/2011,172,133936
30/6/2011,191,134127
1/7/2011,173,134300
2/7/2011,169,134469
3/7/2011,165,134634
4/7/2011,170,134804
5/7/2011,139,134943
6/7/2011,157,135100
7/7/2011,131,135231
8/7/2011,165,135396
9/7/2011,149,135545
10/7/2011,137,135682
11/7/2011,157,135839
12/7/2011,141,135980
13/7/2011,191,136171
14/7/2011,144,136315
15/7/2011,162,136477
16/7/2011,157,136634
17/7/2011,170,136804
18/7/2011,170,136974
19/7/2011,142,137116
20/7/2011,149,137265
21/7/2011,152,137417
22/7/2011,151,137568
23/7/2011,146,137714
24/7/2011,166,137880
25/7/2011,165,138045
26/7/2011,176,138221
27/7/2011,174,138395
28/7/2011,155,138550
29/7/2011,164,138714
30/7/2011,152,138866
31/7/2011,175,139041
1/8/2011,165,139206
2/8/2011,154,139360
3/8/2011,157,139517
4/8/2011,129,139646
5/8/2011,140,139786
6/8/2011,122,139908
7/8/2011,126,140034
8/8/2011,136,140170
9/8/2011,146,140316
10/8/2011,152,140468
11/8/2011,137,140605
12/8/2011,131,140736
13/8/2011,130,140866
14/8/2011,132,140998
15/8/2011,129,141127
16/8/2011,147,141274
17/8/2011,136,141410
18/8/2011,144,141554
19/8/2011,131,141685
20/8/2011,152,141837
21/8/2011,160,141997
22/8/2011,169,142166
23/8/2011,155,142321
24/8/2011,134,142455
25/8/2011,135,142590
26/8/2011,147,142737
27/8/2011,122,142859
28/8/2011,116,142975
29/8/2011,138,143113
30/8/2011,146,143259
31/8/2011,155,143414
1/9/2011,129,143543
2/9/2011,156,143699
3/9/2011,145,143844
4/9/2011,134,143978
5/9/2011,156,144134
6/9/2011,151,144285
7/9/2011,136,144421
8/9/2011,129,144550
9/9/2011,154,144704
10/9/2011,133,144837
11/9/2011,125,144962
12/9/2011,133,145095
13/9/2011,142,145237
14/9/2011,146,145383
15/9/2011,156,145539
16/9/2011,119,145658
17/9/2011,134,145792
18/9/2011,158,145950
19/9/2011,127,146077
20/9/2011,140,146217
21/9/2011,146,146363
22/9/2011,148,146511
23/9/2011,133,146644
24/9/2011,129,146773
25/9/2011,137,146910
26/9/2011,134,147044
27/9/2011,133,147177
28/9/2011,147,147324
29/9/2011,125,147449
30/9/2011,122,147571
1/10/2011,143,147714
2/10/2011,121,147835
3/10/2011,145,147980
4/10/2011,112,148092
5/10/2011,145,148237
6/10/2011,128,148365
7/10/2011,138,148503
8/10/2011,119,148622
9/10/2011,127,148749
10/10/2011,123,148872
11/10/2011,93,148965
12/10/2011,120,149085
13/10/2011,97,149182
14/10/2011,139,149321
15/10/2011,134,149455
16/10/2011,119,149574
17/10/2011,118,149692
18/10/2011,120,149812
19/10/2011,133,149945
20/10/2011,115,150060
21/10/2011,121,150181
22/10/2011,98,150279
23/10/2011,108,150387
24/10/2011,127,150514
25/10/2011,129,150643
26/10/2011,117,150760
27/10/2011,100,150860
28/10/2011,105,150965
29/10/2011,113,151078
30/10/2011,111,151189
31/10/2011,131,151320
1/11/2011,150,151470
2/11/2011,154,151624
3/11/2011,125,151749
4/11/2011,147,151896
5/11/2011,146,152042
6/11/2011,144,152186
7/11/2011,132,152318
8/11/2011,149,152467
9/11/2011,161,152628
10/11/2011,141,152769
11/11/2011,119,152888
12/11/2011,143,153031
13/11/2011,144,153175
14/11/2011,143,153318
15/11/2011,165,153483
16/11/2011,135,153618
17/11/2011,139,153757
18/11/2011,133,153890
19/11/2011,123,154013
20/11/2011,143,154156
21/11/2011,118,154274
22/11/2011,140,154414
23/11/2011,134,154548
24/11/2011,113,154661
25/11/2011,135,154796
26/11/2011,120,154916
27/11/2011,114,155030
28/11/2011,127,155157
29/11/2011,138,155295
30/11/2011,162,155457
1/12/2011,182,155639
2/12/2011,146,155785
3/12/2011,152,155937
4/12/2011,136,156073
5/12/2011,158,156231
6/12/2011,171,156402
7/12/2011,138,156540
8/12/2011,164,156704
9/12/2011,147,156851
10/12/2011,144,156995
11/12/2011,152,157147
12/12/2011,127,157274
13/12/2011,132,157406
14/12/2011,153,157559
15/12/2011,112,157671
16/12/2011,118,157789
17/12/2011,150,157939
18/12/2011,144,158083
19/12/2011,159,158242
20/12/2011,134,158376
21/12/2011,149,158525
22/12/2011,148,158673
23/12/2011,142,158815
24/12/2011,145,158960
25/12/2011,174,159134
26/12/2011,177,159311
27/12/2011,145,159456
28/12/2011,155,159611
29/12/2011,138,159749
30/12/2011,142,159891
31/12/2011,151,160042
1/1/2012,153,160195
2/1/2012,151,160346
3/1/2012,159,160505
4/1/2012,149,160654
5/1/2012,147,160801
6/1/2012,171,160972
7/1/2012,184,161156
8/1/2012,163,161319
9/1/2012,164,161483
10/1/2012,141,161624
11/1/2012,153,161777
12/1/2012,155,161932
13/1/2012,140,162072
14/1/2012,150,162222
15/1/2012,139,162361
16/1/2012,175,162536
17/1/2012,157,162693
18/1/2012,128,162821
19/1/2012,150,162971
20/1/2012,145,163116
21/1/2012,164,163280
22/1/2012,136,163416
23/1/2012,170,163586
24/1/2012,139,163725
25/1/2012,148,163873
26/1/2012,138,164011
27/1/2012,141,164152
28/1/2012,145,164297
29/1/2012,167,164464
30/1/2012,172,164636
31/1/2012,150,164786
1/2/2012,141,164927
2/2/2012,159,165086
3/2/2012,158,165244
4/2/2012,157,165401
5/2/2012,142,165543
6/2/2012,146,165689
7/2/2012,137,165826
8/2/2012,145,165971
9/2/2012,145,166116
10/2/2012,138,166254
11/2/2012,150,166404
12/2/2012,158,166562
13/2/2012,137,166699
14/2/2012,138,166837
15/2/2012,134,166971
16/2/2012,138,167109
17/2/2012,152,167261
18/2/2012,171,167432
19/2/2012,158,167590
20/2/2012,140,167730
21/2/2012,129,167859
22/2/2012,159,168018
23/2/2012,166,168184
24/2/2012,149,168333
25/2/2012,165,168498
26/2/2012,150,168648
27/2/2012,154,168802
28/2/2012,160,168962
29/2/2012,179,169141
1/3/2012,151,169292
2/3/2012,134,169426
3/3/2012,113,169539
4/3/2012,137,169676
5/3/2012,145,169821
6/3/2012,137,169958
7/3/2012,154,170112
8/3/2012,156,170268
9/3/2012,168,170436
10/3/2012,165,170601
11/3/2012,134,170735
12/3/2012,166,170901
13/3/2012,160,171061
14/3/2012,137,171198
15/3/2012,121,171319
16/3/2012,153,171472
17/3/2012,170,171642
18/3/2012,160,171802
19/3/2012,143,171945
20/3/2012,160,172105
21/3/2012,158,172263
22/3/2012,158,172421
23/3/2012,126,172547
24/3/2012,184,172731
25/3/2012,157,172888
26/3/2012,151,173039
27/3/2012,156,173195
28/3/2012,150,173345
29/3/2012,141,173486
30/3/2012,154,173640
31/3/2012,170,173810
1/4/2012,142,173952
2/4/2012,116,174068
3/4/2012,133,174201
4/4/2012,137,174338
5/4/2012,117,174455
6/4/2012,136,174591
7/4/2012,129,174720
8/4/2012,150,174870
9/4/2012,146,175016
10/4/2012,147,175163
11/4/2012,141,175304
12/4/2012,127,175431
13/4/2012,123,175554
14/4/2012,139,175693
15/4/2012,107,175800
16/4/2012,150,175950
17/4/2012,135,176085
18/4/2012,130,176215
19/4/2012,157,176372
20/4/2012,154,176526
21/4/2012,154,176680
22/4/2012,140,176820
23/4/2012,135,176955
24/4/2012,138,177093
25/4/2012,127,177220
26/4/2012,155,177375
27/4/2012,135,177510
28/4/2012,152,177662
29/4/2012,179,177841
30/4/2012,179,178020
1/5/2012,170,178190
2/5/2012,150,178340
3/5/2012,157,178497
4/5/2012,161,178658
5/5/2012,167,178825
6/5/2012,164,178989
7/5/2012,170,179159
8/5/2012,176,179335
9/5/2012,166,179501
10/5/2012,129,179630
11/5/2012,143,179773
12/5/2012,128,179901
13/5/2012,140,180041
14/5/2012,139,180180
15/5/2012,130,180310
16/5/2012,121,180431
17/5/2012,116,180547
18/5/2012,145,180692
19/5/2012,149,180841
20/5/2012,138,180979
21/5/2012,126,181105
22/5/2012,115,181220
23/5/2012,130,181350
24/5/2012,125,181475
25/5/2012,121,181596
26/5/2012,142,181738
27/5/2012,159,181897
28/5/2012,142,182039
29/5/2012,126,182165
30/5/2012,131,182296
31/5/2012,138,182434
1/6/2012,152,182586
2/6/2012,160,182746
3/6/2012,153,182899
4/6/2012,155,183054
5/6/2012,147,183201
6/6/2012,153,183354
7/6/2012,139,183493
8/6/2012,141,183634
9/6/2012,171,183805
10/6/2012,166,183971
11/6/2012,140,184111
12/6/2012,156,184267
13/6/2012,150,184417
14/6/2012,156,184573
15/6/2012,159,184732
16/6/2012,156,184888
17/6/2012,164,185052
18/6/2012,175,185227
19/6/2012,147,185374
20/6/2012,145,185519
21/6/2012,136,185655
22/6/2012,138,185793
23/6/2012,164,185957
24/6/2012,131,186088
25/6/2012,154,186242
26/6/2012,149,186391
27/6/2012,163,186554
28/6/2012,137,186691
29/6/2012,146,186837
30/6/2012,132,186969
1/7/2012,142,187111
2/7/2012,152,187263
3/7/2012,160,187423
4/7/2012,150,187573
5/7/2012,144,187717
6/7/2012,155,187872
7/7/2012,166,188038
8/7/2012,153,188191
9/7/2012,163,188354
10/7/2012,150,188504
11/7/2012,134,188638
12/7/2012,150,188788
13/7/2012,163,188951
14/7/2012,161,189112
15/7/2012,140,189252
16/7/2012,150,189402
17/7/2012,172,189574
18/7/2012,155,189729
19/7/2012,135,189864
20/7/2012,148,190012
21/7/2012,141,190153
22/7/2012,155,190308
23/7/2012,141,190449
24/7/2012,161,190610
25/7/2012,160,190770
26/7/2012,169,190939
27/7/2012,178,191117
28/7/2012,153,191270
29/7/2012,166,191436
30/7/2012,176,191612
31/7/2012,130,191742
1/8/2012,134,191876
2/8/2012,165,192041
3/8/2012,162,192203
4/8/2012,156,192359
5/8/2012,139,192498
6/8/2012,140,192638
7/8/2012,164,192802
8/8/2012,166,192968
9/8/2012,170,193138
10/8/2012,156,193294
11/8/2012,168,193462
12/8/2012,159,193621
13/8/2012,160,193781
14/8/2012,157,193938
15/8/2012,167,194105
16/8/2012,154,194259
17/8/2012,138,194397
18/8/2012,151,194548
19/8/2012,182,194730
20/8/2012,174,194904
21/8/2012,173,195077
22/8/2012,156,195233
23/8/2012,165,195398
24/8/2012,148,195546
25/8/2012,138,195684
26/8/2012,179,195863
27/8/2012,145,196008
28/8/2012,151,196159
29/8/2012,168,196327
30/8/2012,154,196481
31/8/2012,140,196621
1/9/2012,161,196782
2/9/2012,164,196946
3/9/2012,157,197103
4/9/2012,153,197256
5/9/2012,180,197436
6/9/2012,171,197607
7/9/2012,168,197775
8/9/2012,145,197920
9/9/2012,159,198079
10/9/2012,150,198229
11/9/2012,145,198374
12/9/2012,155,198529
13/9/2012,130,198659
14/9/2012,162,198821
15/9/2012,144,198965
16/9/2012,161,199126
17/9/2012,168,199294
18/9/2012,167,199461
19/9/2012,141,199602
20/9/2012,152,199754
21/9/2012,169,199923
22/9/2012,157,200080
23/9/2012,158,200238
24/9/2012,153,200391
25/9/2012,139,200530
26/9/2012,140,200670
27/9/2012,161,200831
28/9/2012,158,200989
29/9/2012,168,201157
30/9/2012,159,201316
1/10/2012,131,201447
2/10/2012,146,201593
3/10/2012,133,201726
4/10/2012,131,201857
5/10/2012,136,201993
6/10/2012,155,202148
7/10/2012,125,202273
8/10/2012,178,202451
9/10/2012,142,202593
10/10/2012,149,202742
11/10/2012,138,202880
12/10/2012,149,203029
13/10/2012,148,203177
14/10/2012,127,203304
15/10/2012,169,203473
16/10/2012,155,203628
